# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.10.0
#@/tick	116448
#@/user_id	desktop
a 	啊	c=174 d=2.53214 t=116448
an 	案	c=3 d=8.75325e-52 t=116448
an an 	安安	c=0 d=3.66719e-53 t=116448
an an ha ha ha ha 	安安哈哈哈哈	c=1 d=3.68557e-52 t=116448
an duo 	安多	c=1 d=2.04162e-44 t=116448
an duo zhuo 	安多卓	c=7 d=1.59359e-41 t=116448
an e 	媕娿	c=1 d=1.47118e-130 t=116448
an guo 	安国	c=0 d=1.8576e-22 t=116448
an ji kui lin 	氨基喹啉	c=0 d=1.29932e-52 t=116448
an jian 	按鍵	c=1 d=6.32431e-228 t=116448
an li 	案例	c=1 d=1.26165e-146 t=116448
an mo 	按摩	c=3 d=3.15486e-17 t=116448
an na ban na 	安那般那	c=0 d=1.16536e-66 t=116448
an niu 	按扭	c=202 d=0.138123 t=116448
an niu de 	按扭的	c=1 d=2.07023e-90 t=116448
an niu niu 	按扭牛	c=1 d=2.30501e-236 t=116448
an pai 	安排	c=26 d=0.063609 t=116448
an pai shang 	安排上	c=1 d=2.09631e-149 t=116448
an quan 	安全	c=22 d=3.84405 t=116448
an shi 	暗示	c=1 d=0.826959 t=116448
an wei 	安慰	c=3 d=0.68729 t=116448
an wei zi ji 	安慰自己	c=1 d=3.71174e-47 t=116448
an xin 	安心	c=1 d=0.68045 t=116448
an zao 	按早	c=2 d=8.34087e-190 t=116448
an zhao 	按照	c=27 d=0.175555 t=116448
an zhu 	按住	c=2 d=5.52173e-118 t=116448
an zhuan 	暗轉	c=1 d=4.17291e-160 t=116448
an zhuang 	安裝	c=37 d=7.75711 t=116448
an zhuang bao 	安裝包	c=1 d=0.99005 t=116448
an zhuang le 	安裝了	c=1 d=0.96079 t=116448
an zhuo 	安卓	c=43 d=0.198891 t=116448
ang 	昂	c=0 d=1.14085e-110 t=116448
ang le 	昂了	c=1 d=5.65356e-115 t=116448
ao 	嗷	c=1 d=2.66527e-33 t=116448
ao 	澳	c=4 d=1.10383e-162 t=116448
ao guo 	熬過	c=1 d=0.869358 t=116448
ao men 	澳門	c=1 d=1.01834e-96 t=116448
ao te 	奧特	c=1 d=1.07574e-241 t=116448
ao ti 	凹體	c=0 d=6.25854e-18 t=116448
ao ye 	熬夜	c=2 d=0.183599 t=116448
ba 	八	c=6 d=0.108609 t=116448
ba 	吧	c=313 d=2.62049 t=116448
ba 	巴	c=2 d=1.40396e-168 t=116448
ba 	把	c=154 d=0.831869 t=116448
ba dian 	八點	c=1 d=0.390628 t=116448
ba dian zhong 	八點鐘	c=1 d=4.17732e-143 t=116448
ba he li 	八合里	c=1 d=0.0593086 t=116448
ba ni 	把你	c=3 d=5.7864e-06 t=116448
ba ping 	八平	c=0 d=2.15229e-19 t=116448
ba wo 	把握	c=3 d=0.474734 t=116448
ba wo men 	把我們	c=1 d=1.035e-228 t=116448
ba yuan ben 	吧原本	c=1 d=1.11793e-223 t=116448
bai 	拜	c=1 d=1.92574e-33 t=116448
bai 	擺	c=4 d=0.309796 t=116448
bai 	白	c=3 d=1.02952e-195 t=116448
bai bai 	拜拜	c=1 d=0.67032 t=116448
bai du 	百度	c=4 d=2.80992 t=116448
bai fen 	百分	c=1 d=5.38568e-44 t=116448
bai fen bi 	百分比	c=3 d=5.78458e-151 t=116448
bai hu 	白虎	c=1 d=0.937067 t=116448
bai jiu 	白酒	c=1 d=4.32888e-33 t=116448
bai mi yi shu 	百密一疏	c=1 d=0.00027192 t=116448
bai ming dan 	白名单	c=55 d=4.40653e-05 t=116448
bai ming le 	擺明了	c=1 d=6.74555e-75 t=116448
bai nian 	拜年	c=1 d=1.32012e-32 t=116448
bai ping 	擺平	c=1 d=1.00997e-234 t=116448
bai qie ji 	白切雞	c=1 d=2.55296e-144 t=116448
bai tai 	白苔	c=0 d=7.34655e-227 t=116448
bai tian 	白天	c=2 d=0.597501 t=116448
bai wan 	百萬	c=2 d=4.06794e-125 t=116448
bai yan 	白煙	c=1 d=0.970446 t=116448
ban 	伴	c=1 d=6.79019e-35 t=116448
ban 	半	c=25 d=0.399018 t=116448
ban 	搬	c=7 d=0.0816881 t=116448
ban 	板	c=1 d=3.76554e-128 t=116448
ban 	班	c=1 d=2.41857e-243 t=116448
ban 	辦	c=10 d=0.839457 t=116448
ban ba 	班疤	c=0 d=1.74848e-45 t=116448
ban ba ne 	班疤呢	c=1 d=1.75724e-44 t=116448
ban ben 	版本	c=542 d=4.27837 t=116448
ban ben bu 	版本不	c=2 d=7.36127e-155 t=116448
ban ben er 	扳本兒	c=1 d=3.75746e-44 t=116448
ban ben hao 	版本號	c=3 d=6.19395e-42 t=116448
ban ben le 	版本了	c=1 d=3.05876e-241 t=116448
ban ben shang 	版本上	c=1 d=3.01399e-09 t=116448
ban che 	班車	c=18 d=8.26605e-16 t=116448
ban che le 	班車了	c=1 d=3.58541e-22 t=116448
ban fa 	辦法	c=6 d=1.34072e-67 t=116448
ban fan 	拌飯	c=2 d=3.43746e-86 t=116448
ban gong 	辦公	c=1 d=0.970446 t=116448
ban hao 	版號	c=1 d=6.691e-244 t=116448
ban hui 	半會	c=2 d=1.11326e-115 t=116448
ban jia 	搬家	c=5 d=0.940036 t=116448
ban jiang 	頒獎	c=1 d=0.0808629 t=116448
ban jiao 	半角	c=1 d=5.10028e-168 t=116448
ban le 	辦了	c=2 d=2.06672e-217 t=116448
ban lu 	半路	c=1 d=9.359e-192 t=116448
ban nian 	半年	c=1 d=0.810584 t=116448
ban nian le 	半年了	c=1 d=1.54135e-90 t=116448
ban tiao 	半條	c=1 d=2.39581e-220 t=116448
ban yan 	扮演	c=1 d=8.77748e-202 t=116448
ban zi 	班子	c=1 d=3.87865e-182 t=116448
bang 	幫	c=59 d=0.289618 t=116448
bang 	綁	c=11 d=7.83879e-48 t=116448
bang dan 	榜單	c=1 d=8.70543e-17 t=116448
bang ding 	綁定	c=8 d=2.24937e-37 t=116448
bang ge 	幫個	c=1 d=6.43515e-109 t=116448
bang ge mang 	幫個忙	c=1 d=3.91934e-99 t=116448
bang hui 	幫會	c=1 d=9.27397e-26 t=116448
bang kan xia 	幫看下	c=4 d=1.14429e-25 t=116448
bang mang 	幫忙	c=175 d=0.0109984 t=116448
bang mang kan xia 	幫忙看下	c=2 d=1.59956e-85 t=116448
bang mang le 	幫忙了	c=1 d=2.0172e-167 t=116448
bang mang xia 	幫忙下	c=2 d=1.39752e-114 t=116448
bang mang zhao yi xia 	幫忙找一下	c=1 d=1.49042e-224 t=116448
bang ni 	幫你	c=13 d=9.04738e-06 t=116448
bang wan 	傍晚	c=4 d=5.27959e-104 t=116448
bang wan qian 	傍晚前	c=1 d=5.68407e-237 t=116448
bang wo 	幫我	c=7 d=6.75402e-31 t=116448
bang zai 	綁在	c=1 d=8.83499e-220 t=116448
bang zhu 	幫助	c=10 d=0.874627 t=116448
bao 	保	c=5 d=1.0834e-23 t=116448
bao 	包	c=261 d=4.49738 t=116448
bao 	報	c=65 d=9.56833e-45 t=116448
bao 	寶	c=7 d=3.29335 t=116448
bao 	抱	c=1 d=2.7878e-238 t=116448
bao 	煲	c=1 d=6.32882e-207 t=116448
bao 	爆	c=1 d=3.72653e-35 t=116448
bao an 	寶安	c=1 d=4.80833e-151 t=116448
bao biao 	報表	c=17 d=1.26642e-14 t=116448
bao chi 	保持	c=38 d=2.55025e-14 t=116448
bao ci 	报慈	c=1 d=1.14388e-52 t=116448
bao cun 	保存	c=10 d=0.843665 t=116448
bao cuo 	報錯	c=12 d=6.97942e-123 t=116448
bao cuo le 	報錯了	c=1 d=4.3385e-206 t=116448
bao dao 	報到	c=2 d=6.45997e-225 t=116448
bao de 	煲的	c=1 d=0.293758 t=116448
bao fei 	保費	c=1 d=2.64758e-131 t=116448
bao gao 	報告	c=4 d=0.0960789 t=116448
bao guan 	報關	c=2 d=3.75926e-79 t=116448
bao guan li 	包管理	c=1 d=1.21751e-80 t=116448
bao guan li qi 	包管理器	c=1 d=0.891366 t=116448
bao guang 	曝光	c=154 d=0.227637 t=116448
bao guang biao 	曝光表	c=7 d=1.27276e-14 t=116448
bao guang de 	曝光的	c=1 d=5.46027e-235 t=116448
bao guang le 	曝光了	c=2 d=9.15273e-77 t=116448
bao guang shi jian 	曝光時間	c=1 d=2.95132e-144 t=116448
bao guang shu ju 	曝光數據	c=1 d=1.63466e-105 t=116448
bao han 	包含	c=27 d=0.00578402 t=116448
bao he 	飽和	c=1 d=2.13126e-167 t=116448
bao hu 	保護	c=8 d=1.98675e-47 t=116448
bao hu le 	保護了	c=1 d=1.88327e-241 t=116448
bao hu xia 	保護下	c=1 d=1.63723e-241 t=116448
bao huo 	保活	c=4 d=2.3212e-142 t=116448
bao kao 	報考	c=1 d=8.633e-242 t=116448
bao kuo 	包括	c=10 d=1.06274e-10 t=116448
bao le 	報了	c=2 d=1.1472e-86 t=116448
bao liu 	保留	c=18 d=0.66034 t=116448
bao lu 	暴露	c=10 d=2.15529e-05 t=116448
bao lu kuang 	暴露狂	c=0 d=7.96114e-231 t=116448
bao lu kuang le 	暴露狂了	c=1 d=8.00104e-230 t=116448
bao ming 	報名	c=3 d=1.27196e-211 t=116448
bao nian 	包年	c=1 d=0.99005 t=116448
bao nuan 	保暖	c=1 d=1.00365e-131 t=116448
bao qian 	抱歉	c=8 d=6.17881e-72 t=116448
bao sha 	暴殺	c=1 d=6.70489e-239 t=116448
bao shang 	報上	c=2 d=7.97538e-45 t=116448
bao tang 	煲湯	c=2 d=0.535745 t=116448
bao xian 	保險	c=19 d=1.07025e-34 t=116448
bao xiang 	包廂	c=1 d=4.90666e-242 t=116448
bao zao 	暴躁	c=1 d=1.74843e-220 t=116448
bao zha 	爆炸	c=9 d=1.98512e-08 t=116448
bao zha tou 	爆炸头	c=1 d=1.46693e-96 t=116448
bao zhang 	保障	c=1 d=1.47468e-158 t=116448
bao zhe 	抱着	c=0 d=1.87151e-139 t=116448
bao zheng 	保證	c=9 d=5.30496e-75 t=116448
bao zhong 	保重	c=4 d=0.20089 t=116448
bao zhuang 	包裝	c=2 d=6.6804e-171 t=116448
bao zhuang qi 	包裝器	c=2 d=1.71326e-171 t=116448
bei 	倍	c=1 d=1.1381e-110 t=116448
bei 	唄	c=32 d=0.873716 t=116448
bei 	盃	c=8 d=2.10414e-33 t=116448
bei 	碑	c=1 d=8.77178e-165 t=116448
bei 	背	c=2 d=3.87585e-56 t=116448
bei 	被	c=147 d=1.04341 t=116448
bei bao 	背包	c=2 d=2.05695e-36 t=116448
bei ci 	背刺	c=1 d=8.14437e-233 t=116448
bei da ji 	唄打擊	c=2 d=3.76746e-134 t=116448
bei da ji le 	被打擊了	c=1 d=6.06516e-177 t=116448
bei diao yong 	唄調用	c=1 d=1.84867e-170 t=116448
bei dong 	被動	c=15 d=1.65462e-42 t=116448
bei fang 	北方	c=1 d=0.873716 t=116448
bei fen 	備份	c=6 d=4.69955 t=116448
bei guan zhu 	被關注	c=2 d=4.16053e-170 t=116448
bei ji 	北極	c=1 d=2.98273e-239 t=116448
bei jin 	被禁	c=4 d=4.98941e-86 t=116448
bei jing 	北京	c=3 d=0.99005 t=116448
bei jing 	背景	c=59 d=0.000242391 t=116448
bei jing xia 	背景下	c=1 d=5.55236e-79 t=116448
bei le 	背了	c=1 d=0.044601 t=116448
bei mei 	北美	c=1 d=8.21383e-39 t=116448
bei ni 	被你	c=1 d=4.32965e-182 t=116448
bei shang 	悲傷	c=1 d=0.99005 t=116448
bei su 	倍速	c=6 d=1.15216e-78 t=116448
bei wo 	被我	c=1 d=0.932394 t=116448
bei zhu 	備注	c=9 d=1.26749e-24 t=116448
bei zi 	被子	c=2 d=0.0372539 t=116448
bei zi ji 	被自己	c=1 d=0.869358 t=116448
ben 	本	c=7 d=1.31855e-18 t=116448
ben ci 	本次	c=2 d=1.45618e-39 t=116448
ben di 	本地	c=76 d=0.772749 t=116448
ben di hua 	本地化	c=1 d=4.70014e-148 t=116448
ben di le 	本地了	c=1 d=3.79393e-40 t=116448
ben ke sheng 	本科生	c=1 d=3.49986e-32 t=116448
ben lai 	本來	c=37 d=0.996228 t=116448
ben lai shi 	本來是	c=1 d=4.41289e-112 t=116448
ben shen 	本身	c=67 d=0.245367 t=116448
ben sheng 	本省	c=13 d=3.25472e-60 t=116448
ben ti 	本体	c=2 d=2.7607e-182 t=116448
ben wen 	本文	c=2 d=1.03881e-212 t=116448
ben yi 	本意	c=1 d=2.7404e-154 t=116448
ben zhi 	本質	c=8 d=0.790571 t=116448
beng kui 	崩潰	c=1 d=1.50975e-111 t=116448
beng le 	蹦了	c=1 d=2.07941e-142 t=116448
bi 	幣	c=2 d=4.06299e-220 t=116448
bi 	必	c=4 d=2.33378e-88 t=116448
bi 	比	c=21 d=0.0537945 t=116448
bi bao 	閉包	c=23 d=7.35822e-39 t=116448
bi bao zhong 	閉包中	c=1 d=1.30265e-228 t=116448
bi bu shang 	比不上	c=1 d=8.53803e-112 t=116448
bi ci 	彼此	c=1 d=2.66621e-184 t=116448
bi ding 	必定	c=2 d=1.40553e-93 t=116448
bi dui 	比對	c=1 d=1.5922e-207 t=116448
bi huan 	閉環	c=1 d=0.597501 t=116448
bi ji ben 	筆記本	c=1 d=9.79616e-229 t=116448
bi jian 	鼻尖	c=1 d=0.941764 t=116448
bi jiao 	比較	c=172 d=2.59045 t=116448
bi jiao chang 	比較長	c=3 d=9.11823e-62 t=116448
bi jiao da 	比較大	c=10 d=4.54309e-13 t=116448
bi jiao duan 	比較端	c=1 d=5.53389e-128 t=116448
bi jiao duo 	比較多	c=3 d=8.0222e-26 t=116448
bi jiao ha 	比較哈	c=1 d=1.00783e-121 t=116448
bi jiao hao 	比較好	c=5 d=1.13527e-22 t=116448
bi jiao kuai 	比較快	c=1 d=2.10883e-219 t=116448
bi jiao man 	比較慢	c=4 d=1.21614e-08 t=116448
bi jiao qing song 	比較輕鬆	c=1 d=2.73993e-152 t=116448
bi jiao shang 	比較上	c=1 d=3.18966e-234 t=116448
bi jiao shao 	比較少	c=1 d=4.93925e-26 t=116448
bi jiao xia 	比較下	c=1 d=1.70793e-209 t=116448
bi jiao xian 	比較先	c=1 d=9.32908e-125 t=116448
bi jiao xiao 	比較小	c=2 d=9.39623e-33 t=116448
bi jiao yuan 	比較源	c=1 d=0.960789 t=116448
bi jiao zao 	比較早	c=1 d=3.67296e-188 t=116448
bi jing 	畢竟	c=21 d=0.913931 t=116448
bi li 	比例	c=28 d=3.27347e-10 t=116448
bi li de 	比例的	c=0 d=5.74621e-72 t=116448
bi lv 	比率	c=17 d=2.16628e-09 t=116448
bi mian 	避免	c=48 d=3.10417e-17 t=116448
bi mian dao zhi 	避免導致	c=1 d=4.1556e-23 t=116448
bi mian le 	避免了	c=1 d=2.9313e-64 t=116448
bi qi 	比起	c=1 d=0.136014 t=116448
bi ren 	逼人	c=1 d=9.25386e-118 t=116448
bi ru 	比如	c=37 d=0.0244898 t=116448
bi ru shuo 	比如說	c=6 d=5.2909e-41 t=116448
bi shi 	鄙視	c=1 d=1.29971e-84 t=116448
bi wo 	比我	c=3 d=2.16286e-38 t=116448
bi wu 	筆誤	c=1 d=3.87457e-199 t=116448
bi xiang xiang zhong 	比想象中	c=1 d=0.54064 t=116448
bi xu 	必須	c=6 d=5.68747e-09 t=116448
bi xu de 	必需的	c=1 d=3.77092e-86 t=116448
bi xu dei 	必須得	c=1 d=2.98972e-149 t=116448
bi xu shi 	必須是	c=1 d=2.21943e-144 t=116448
bi xu yao 	必須要	c=2 d=7.44864e-65 t=116448
bi yao 	必要	c=23 d=0.0889216 t=116448
bi yao xing 	必要性	c=1 d=1.0216e-163 t=116448
bi ye 	畢業	c=2 d=8.12163e-112 t=116448
bi yuan 	闭源	c=3 d=6.40978e-114 t=116448
bi zhe ge 	比這個	c=1 d=2.54117e-119 t=116448
bi zhi 	壁紙	c=1 d=1.75058e-205 t=116448
bi zhi 	比值	c=2 d=1.56242e-132 t=116448
bian 	變	c=11 d=1.07858e-37 t=116448
bian 	遍	c=5 d=3.44496e-39 t=116448
bian 	邊	c=7 d=3.06736e-39 t=116448
bian chang 	變長	c=0 d=4.86063e-191 t=116448
bian chang le 	變長了	c=1 d=4.88499e-190 t=116448
bian cheng 	編程	c=1 d=0.951229 t=116448
bian cheng 	變成	c=14 d=0.862977 t=116448
bian da 	變大	c=1 d=1.33023e-151 t=116448
bian de 	編的	c=2 d=2.76936e-160 t=116448
bian de 	變得	c=4 d=0.00355444 t=116448
bian dong 	變動	c=6 d=0.000450569 t=116448
bian geng 	變更	c=6 d=3.63449e-12 t=116448
bian geng dian 	變更點	c=1 d=4.77068e-88 t=116448
bian hao 	編號	c=1 d=0.99005 t=116448
bian hua 	變化	c=17 d=1.09843e-09 t=116448
bian hua de 	變化的	c=1 d=0.852144 t=116448
bian hua shi fou 	變化是否	c=1 d=1.01965e-23 t=116448
bian hui 	變回	c=1 d=9.70549e-61 t=116448
bian ji 	編輯	c=23 d=2.48346 t=116448
bian ji hao 	編輯號	c=1 d=4.29882e-98 t=116448
bian jie 	便捷	c=7 d=3.06029e-100 t=116448
bian jie 	边界	c=2 d=2.48773e-163 t=116448
bian ju 	邊距	c=2 d=5.01918e-09 t=116448
bian kuang 	邊框	c=6 d=7.96754e-85 t=116448
bian lai bian qu 	變來變去	c=1 d=3.84934e-181 t=116448
bian le 	變了	c=2 d=3.05892e-36 t=116448
bian li 	便利	c=4 d=0.726149 t=116448
bian li 	變例	c=1 d=8.98226e-238 t=116448
bian li 	遍歷	c=18 d=1.02118 t=116448
bian li dian 	便利店	c=1 d=0.729789 t=116448
bian liang 	變量	c=59 d=3.2471 t=116448
bian liang le 	變量了	c=1 d=6.21825e-88 t=116448
bian lun 	辯論	c=1 d=9.30817e-128 t=116448
bian ma 	編碼	c=37 d=6.63629e-30 t=116448
bian se long 	变色龙	c=1 d=1.5858e-101 t=116448
bian ti 	便梯	c=1 d=0.985111 t=116448
bian xian 	變現	c=2 d=2.75134e-134 t=116448
bian xian shang 	變現上	c=1 d=3.74867e-134 t=116448
bian xie 	編寫	c=25 d=1.02387 t=116448
bian ya qi 	變壓器	c=1 d=0.99005 t=116448
bian yi 	編譯	c=42 d=1.9459 t=116448
bian yuan 	邊緣	c=2 d=3.78711e-107 t=116448
bian zhi 	貶值	c=2 d=2.53152e-96 t=116448
biao 	標	c=7 d=5.66204e-162 t=116448
biao 	表	c=209 d=6.69361e-10 t=116448
biao 	飈	c=1 d=8.75119e-108 t=116448
biao da 	表達	c=1 d=2.58662e-151 t=116448
biao da shi 	表達式	c=14 d=7.66635e-51 t=116448
biao de 	表的	c=1 d=3.57192e-154 t=116448
biao di 	標的	c=1 d=7.8988e-167 t=116448
biao ge 	表格	c=45 d=1.74372e-12 t=116448
biao ge zhong 	表格中	c=7 d=7.45347e-102 t=116448
biao guan lian 	表關聯	c=1 d=1.17412e-153 t=116448
biao ji 	標記	c=3 d=8.89158e-60 t=116448
biao kuang 	标况	c=1 d=1.71555e-85 t=116448
biao le 	表了	c=2 d=8.91489e-32 t=116448
biao lian jie 	表鏈接	c=1 d=2.99296e-103 t=116448
biao liang 	標量	c=1 d=4.51431e-144 t=116448
biao ming 	標明	c=5 d=0.00132018 t=116448
biao ming 	表明	c=2 d=9.76652e-164 t=116448
biao ming da jia 	表明大家	c=1 d=2.30515e-178 t=116448
biao pan 	錶盤	c=1 d=6.19546e-133 t=116448
biao qian 	標籤	c=29 d=8.54758e-37 t=116448
biao qian fen lei 	標籤分類	c=1 d=1.63161e-230 t=116448
biao qian ye 	标签页	c=3 d=3.61042e-115 t=116448
biao qing 	表情	c=101 d=0.179066 t=116448
biao qing bao 	表情包	c=11 d=8.64994e-30 t=116448
biao qing bian ma 	表情編碼	c=1 d=2.19086e-168 t=116448
biao qing de 	表情的	c=1 d=2.46759e-185 t=116448
biao qing mian ban 	表情面板	c=4 d=1.1586e-26 t=116448
biao qing ru kou 	表情入口	c=1 d=2.10259e-96 t=116448
biao qiong 	表窮	c=1 d=6.62958e-165 t=116448
biao shi 	標識	c=3 d=2.26759e-28 t=116448
biao shi 	表示	c=33 d=2.12354e-07 t=116448
biao ti 	標題	c=9 d=1.96536 t=116448
biao ti lan 	標題欄	c=2 d=2.48531e-51 t=116448
biao xian 	表現	c=116 d=1.99294 t=116448
biao xian chu 	表现出	c=1 d=8.23088e-34 t=116448
biao xian de 	表現得	c=1 d=0.000107825 t=116448
biao xiang 	表象	c=1 d=1.44243e-45 t=116448
biao yan 	表演	c=0 d=8.29248e-152 t=116448
biao zhi 	標緻	c=1 d=1.37037e-236 t=116448
biao zhi 	標誌	c=12 d=7.87134e-08 t=116448
biao zhi wei 	標誌位	c=11 d=0.000167421 t=116448
biao zhu 	標注	c=8 d=0.00135523 t=116448
biao zhun 	標準	c=26 d=0.965606 t=116448
biao zhun ban 	標準版	c=1 d=1 t=116448
biao zhun ku 	標準庫	c=1 d=0.985112 t=116448
biao zhun shi jian 	標準時間	c=1 d=6.84988e-226 t=116448
bie 	別	c=10 d=0.190139 t=116448
bie 	憋	c=2 d=2.474e-58 t=116448
bie de 	別的	c=1 d=0.506617 t=116448
bie gao 	別搞	c=1 d=9.58604e-33 t=116448
bie jian yi 	別建議	c=1 d=1.94095e-243 t=116448
bie ku 	別哭	c=1 d=7.47689e-227 t=116448
bie ming 	别名	c=3 d=4.84453e-83 t=116448
bie niu 	彆扭	c=1 d=1.2778e-178 t=116448
bie ren 	別人	c=17 d=2.13804 t=116448
bie xiang le 	別想了	c=1 d=4.696e-167 t=116448
bin 	斌	c=4 d=0.634448 t=116448
bin bin 	斌斌	c=8 d=1.06538 t=116448
bin hai 	濱海	c=1 d=7.48731e-214 t=116448
bing 	並	c=6 d=8.65731e-40 t=116448
bing 	兵	c=1 d=3.42801e-82 t=116448
bing 	病	c=2 d=0.657047 t=116448
bing 	餅	c=13 d=7.79879e-117 t=116448
bing bu 	並不	c=5 d=2.84506e-95 t=116448
bing bu hui 	並不會	c=2 d=4.21642e-135 t=116448
bing bu shi 	並不是	c=14 d=3.77642e-15 t=116448
bing deng 	冰燈	c=1 d=0.856415 t=116448
bing dong 	冰凍	c=1 d=5.33555e-81 t=116448
bing gan 	餅乾	c=1 d=6.50156e-24 t=116448
bing mei you 	並沒有	c=1 d=2.2295e-109 t=116448
bing qie 	並且	c=20 d=0.00104524 t=116448
bing xiang 	冰箱	c=1 d=2.62132e-102 t=116448
bing zhuang tu 	餅狀圖	c=2 d=9.04693e-21 t=116448
bo 	伯	c=1 d=8.91338e-30 t=116448
bo 	播	c=15 d=6.67409e-38 t=116448
bo 	波	c=1 d=1.56635e-44 t=116448
bo bo 	波波	c=1 d=7.50517e-242 t=116448
bo dong 	波動	c=16 d=5.64125e-60 t=116448
bo fang 	播放	c=122 d=2.79768 t=116448
bo fang biao 	播放表	c=9 d=1.95832e-14 t=116448
bo fang cheng gong 	播放成功	c=1 d=4.95203e-27 t=116448
bo fang le 	播放了	c=2 d=2.11333e-09 t=116448
bo fang qi 	播放器	c=8 d=2.86605e-152 t=116448
bo fang ye 	播放也	c=1 d=1.18681e-103 t=116448
bo hou 	博後	c=1 d=9.46455e-30 t=116448
bo ke 	博客	c=4 d=0.99005 t=116448
bo mo 	波模	c=1 d=3.04826e-230 t=116448
bo mo 	薄膜	c=1 d=3.06354e-230 t=116448
bo shi 	博士	c=1 d=7.06736e-182 t=116448
bo wen 	波紋	c=1 d=9.03394e-41 t=116448
bo wu guan 	博物館	c=1 d=0.895834 t=116448
bu 	不	c=244 d=1.59411 t=116448
bu 	布	c=0 d=0.0287941 t=116448
bu 	步	c=3 d=0.244143 t=116448
bu 	補	c=10 d=0.196912 t=116448
bu 	部	c=2 d=4.25922e-48 t=116448
bu an quan 	不安全	c=2 d=7.28035e-149 t=116448
bu bao 	不報	c=2 d=1.20503e-47 t=116448
bu bao han 	不包含	c=1 d=6.50916e-214 t=116448
bu bi yao 	不必要	c=2 d=1.27004e-77 t=116448
bu bian 	不便	c=1 d=1.00618e-43 t=116448
bu bian 	不變	c=13 d=1.78787e-12 t=116448
bu bu 	步步	c=1 d=2.06537e-33 t=116448
bu chang 	不長	c=1 d=0.19205 t=116448
bu chang 	步長	c=2 d=1.28888e-15 t=116448
