# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	325666
#@/user_id	data
a 	啊	c=448 d=2.53214 t=325666
an 	安	c=1 d=2.54472e-106 t=325666
an 	按	c=28 d=1.6794e-12 t=325666
an 	暗	c=4 d=1.22716e-114 t=325666
an 	案	c=4 d=8.75325e-52 t=325666
an an 	安安	c=0 d=3.66719e-53 t=325666
an an ha ha ha ha 	安安哈哈哈哈	c=1 d=3.68557e-52 t=325666
an dao li 	按道理	c=1 d=3.03448e-118 t=325666
an de le 	安德肋	c=1 d=5.228e-253 t=325666
an duo 	安多	c=2 d=2.04162e-44 t=325666
an duo zhuo 	安多卓	c=9 d=1.59359e-41 t=325666
an e 	媕娿	c=1 d=1.47118e-130 t=325666
an fang 	安防	c=0 d=9.76109e-41 t=325666
an guo 	安国	c=0 d=1.8576e-22 t=325666
an hou 	案後	c=0 d=0.0856415 t=325666
an hui nei gan 	氨茴內酐	c=0 d=1.11837e-23 t=325666
an ji kui lin 	氨基喹啉	c=0 d=1.29932e-52 t=325666
an jian 	按鍵	c=3 d=3.37697e-82 t=325666
an jian 	案件	c=6 d=9.07592e-213 t=325666
an kang 	安康	c=2 d=1.37386e-09 t=325666
an ke 	安可	c=1 d=0.737123 t=325666
an li 	案例	c=7 d=1.16126e-13 t=325666
an lian 	暗戀	c=1 d=1.08661e-36 t=325666
an mo 	按摩	c=3 d=3.15486e-17 t=325666
an na ban na 	安那般那	c=0 d=1.16536e-66 t=325666
an ni 	安妮	c=1 d=2.64345e-142 t=325666
an niu 	按扭	c=540 d=1.11527 t=325666
an niu de 	按扭的	c=2 d=2.07023e-90 t=325666
an niu niu 	按扭牛	c=1 d=2.30501e-236 t=325666
an pai 	安排	c=48 d=0.063609 t=325666
an pai dao wei 	安排到位	c=1 d=2.50182e-200 t=325666
an pai shang 	安排上	c=1 d=2.09631e-149 t=325666
an piao 	暗票	c=1 d=4.37479e-157 t=325666
an qu tu wei 	暗区突围	c=1 d=6.75337e-118 t=325666
an quan 	安全	c=69 d=3.84405 t=325666
an shi 	按時	c=1 d=1.6623e-67 t=325666
an shi 	暗示	c=1 d=0.826959 t=325666
an tian 	按天	c=1 d=6.39543e-95 t=325666
an wei 	安慰	c=3 d=0.68729 t=325666
an wei zi ji 	安慰自己	c=1 d=3.71174e-47 t=325666
an wo 	安臥	c=1 d=1.04134e-06 t=325666
an xin 	安心	c=1 d=0.68045 t=325666
an xu qiu 	按需求	c=1 d=7.78568e-115 t=325666
an ya 	安亞	c=1 d=1.06927e-82 t=325666
an ya 	按壓	c=10 d=4.42435e-81 t=325666
an ya tai 	按壓態	c=1 d=1.08002e-82 t=325666
an zao 	按早	c=3 d=6.20582e-182 t=325666
an zhao 	按照	c=98 d=0.175555 t=325666
an zhu 	按住	c=2 d=5.52173e-118 t=325666
an zhuan 	暗轉	c=2 d=3.68721e-116 t=325666
an zhuang 	安裝	c=88 d=7.75711 t=325666
an zhuang bao 	安裝包	c=1 d=0.99005 t=325666
an zhuang dao 	安裝到	c=1 d=5.57721e-249 t=325666
an zhuang le 	安裝了	c=1 d=0.96079 t=325666
an zhuang qi dong 	安裝啓動	c=1 d=4.75143e-158 t=325666
an zhuang shi fu 	安裝師傅	c=1 d=5.91378e-115 t=325666
an zhuo 	安卓	c=50 d=0.536976 t=325666
an zi 	案子	c=1 d=3.49547e-76 t=325666
ang 	昂	c=0 d=1.14085e-110 t=325666
ang de 	昂的	c=1 d=1.48732e-82 t=325666
ang le 	昂了	c=1 d=5.65356e-115 t=325666
ao 	傲	c=1 d=7.69847e-12 t=325666
ao 	嗷	c=5 d=2.17244e-10 t=325666
ao 	澳	c=4 d=1.10383e-162 t=325666
ao guo 	熬過	c=1 d=0.869358 t=325666
ao kou 	拗口	c=2 d=5.57865e-17 t=325666
ao men 	澳門	c=1 d=1.01834e-96 t=325666
ao pang 	奧胖	c=0 d=1.09255e-248 t=325666
ao shang 	坳上	c=0 d=5.03886e-56 t=325666
ao shang sa sa 	坳上灑灑	c=1 d=5.06412e-55 t=325666
ao si man 	奧斯曼	c=1 d=6.39202e-265 t=325666
ao te 	奧特	c=1 d=1.07574e-241 t=325666
ao ti 	凹體	c=0 d=6.25854e-18 t=325666
ao ye 	熬夜	c=4 d=0.183599 t=325666
ao yuan 	澳元	c=1 d=2.13602e-17 t=325666
ao yun 	奧運	c=27 d=1.1767e-05 t=325666
ao yun hui 	奧運會	c=1 d=6.10589e-50 t=325666
ao yun huo dong 	奧運活動	c=2 d=1.00386e-16 t=325666
ba 	八	c=7 d=0.108609 t=325666
ba 	吧	c=851 d=2.62049 t=325666
ba 	巴	c=2 d=1.40396e-168 t=325666
ba 	把	c=423 d=0.831869 t=325666
ba 	爸	c=2 d=4.87124e-245 t=325666
ba ba 	爸爸	c=1 d=1.4502e-20 t=325666
ba bai nian 	八百年	c=1 d=1.31991e-177 t=325666
ba dao zong cai 	霸道總裁	c=1 d=5.6802e-229 t=325666
ba dian 	八點	c=1 d=0.390628 t=325666
ba dian zhong 	八點鐘	c=1 d=4.17732e-143 t=325666
ba ga 	八嘎	c=1 d=2.61242e-62 t=325666
ba gua 	八卦	c=1 d=2.34333e-136 t=325666
ba guan 	把關	c=1 d=7.08249e-119 t=325666
ba he li 	八合里	c=2 d=0.0593086 t=325666
ba jiu 	八九	c=0 d=7.41701e-16 t=325666
ba jiu yue fen 	八九月份	c=1 d=7.45419e-15 t=325666
ba la 	巴拉	c=0 d=1.79188e-10 t=325666
ba la la 	巴拉啦	c=1 d=1.80086e-09 t=325666
ba le 	拔了	c=1 d=1.12513e-181 t=325666
ba ma 	爸媽	c=1 d=2.76174e-157 t=325666
ba ni 	把你	c=8 d=5.7864e-06 t=325666
ba ni men 	把你們	c=1 d=3.6946e-22 t=325666
ba ping 	八平	c=0 d=2.15229e-19 t=325666
ba ta 	把他	c=2 d=9.50066e-16 t=325666
ba wo 	把我	c=1 d=3.83349e-15 t=325666
ba wo 	把握	c=5 d=0.474734 t=325666
ba wo men 	把我們	c=3 d=0.000107287 t=325666
ba yuan ben 	吧原本	c=1 d=1.11793e-223 t=325666
ba zhe ge 	把這個	c=1 d=9.12947e-194 t=325666
ba zi 	八字	c=1 d=6.62759e-279 t=325666
bai 	拜	c=2 d=1.92574e-33 t=325666
bai 	擺	c=4 d=0.309796 t=325666
bai 	白	c=26 d=1.88895e-12 t=325666
bai 	百	c=2 d=9.53801e-209 t=325666
bai bai 	拜拜	c=1 d=0.67032 t=325666
bai ban 	白板	c=2 d=7.86996e-78 t=325666
bai di 	白底	c=15 d=0.0422426 t=325666
bai du 	百度	c=4 d=2.80992 t=325666
bai fen 	百分	c=3 d=2.0968e-26 t=325666
bai fen bi 	百分比	c=4 d=5.42409e-10 t=325666
bai fen shu 	百分數	c=1 d=5.29017e-10 t=325666
bai gan 	白乾	c=1 d=1.5869e-256 t=325666
bai hu 	白虎	c=1 d=0.937067 t=325666
bai jia hao 	百家号	c=1 d=3.45785e-37 t=325666
bai jiu 	白酒	c=1 d=4.32888e-33 t=325666
bai mi yi shu 	百密一疏	c=1 d=0.00027192 t=325666
bai min de gan 	白民的感	c=1 d=1.3435e-62 t=325666
bai ming dan 	白名单	c=140 d=0.0439967 t=325666
bai ming le 	擺明了	c=1 d=6.74555e-75 t=325666
bai nian 	拜年	c=1 d=1.32012e-32 t=325666
bai nian 	百年	c=0 d=1.31332e-178 t=325666
bai piao 	白嫖	c=3 d=3.80376e-41 t=325666
bai ping 	擺平	c=1 d=1.00997e-234 t=325666
bai qiang 	白牆	c=1 d=2.08479e-143 t=325666
bai qie ji 	白切雞	c=1 d=2.55296e-144 t=325666
bai se 	白色	c=9 d=3.5186e-36 t=325666
bai shi zhou 	白石洲	c=2 d=3.83247e-100 t=325666
bai si 	百思	c=1 d=3.55982e-261 t=325666
bai tai 	白苔	c=0 d=7.34655e-227 t=325666
bai tan 	擺攤	c=1 d=1.90728e-08 t=325666
bai tian 	白天	c=11 d=0.597501 t=325666
bai tian mo shi xia 	白天模式下	c=1 d=8.92711e-195 t=325666
bai wan 	百萬	c=2 d=4.06794e-125 t=325666
bai yan 	白煙	c=1 d=0.970446 t=325666
bai yuan 	百元	c=2 d=3.11859e-79 t=325666
ban 	伴	c=3 d=2.13343e-32 t=325666
ban 	半	c=207 d=0.91402 t=325666
ban 	扮	c=1 d=2.81148e-73 t=325666
ban 	搬	c=27 d=0.0816881 t=325666
ban 	板	c=9 d=3.78555e-14 t=325666
ban 	班	c=5 d=1.77218e-26 t=325666
ban 	辦	c=21 d=0.839457 t=325666
ban ba 	班疤	c=0 d=1.74848e-45 t=325666
ban ba ne 	班疤呢	c=4 d=8.9672e-42 t=325666
ban ban ben 	辦版本	c=1 d=8.09377e-101 t=325666
ban ben 	版本	c=1498 d=4.27837 t=325666
ban ben bu 	版本不	c=4 d=3.08221e-37 t=325666
ban ben er 	扳本兒	c=4 d=5.85949e-36 t=325666
ban ben fang liang 	版本放量	c=1 d=3.45058e-71 t=325666
ban ben hao 	版本號	c=9 d=1.67487e-39 t=325666
ban ben le 	版本了	c=1 d=3.05876e-241 t=325666
ban ben shang 	版本上	c=2 d=3.01399e-09 t=325666
ban ben zhi hou 	版本之後	c=1 d=3.26439e-183 t=325666
ban bian ren 	半邊人	c=0 d=2.18602e-143 t=325666
ban bian ren ni 	半邊人你	c=1 d=2.19698e-142 t=325666
ban che 	班車	c=55 d=1.03776e-13 t=325666
ban che le 	班車了	c=1 d=3.58541e-22 t=325666
ban fa 	辦法	c=15 d=1.10401e-17 t=325666
ban fan 	拌飯	c=2 d=3.43746e-86 t=325666
ban ge 	半個	c=4 d=5.26289e-08 t=325666
ban ge yue 	半個月	c=5 d=3.95764e-37 t=325666
ban gong 	辦公	c=6 d=0.970446 t=325666
ban guo lai 	搬過來	c=1 d=1.3343e-40 t=325666
ban guo qu 	搬過去	c=1 d=1.30788e-40 t=325666
ban hao 	版號	c=1 d=6.691e-244 t=325666
ban hui 	半會	c=3 d=1.01833e-96 t=325666
ban jia 	搬家	c=5 d=0.940036 t=325666
ban jiang 	頒獎	c=1 d=0.0808629 t=325666
ban jiao 	半角	c=1 d=3.74585e-38 t=325666
ban jie 	半截	c=0 d=3.35452e-34 t=325666
ban le 	辦了	c=2 d=2.06672e-217 t=325666
ban li 	辦理	c=1 d=4.9342e-14 t=325666
ban lu 	半路	c=1 d=9.359e-192 t=325666
ban nian 	半年	c=4 d=0.810584 t=325666
ban nian le 	半年了	c=1 d=1.54135e-90 t=325666
ban pin 	半品	c=3 d=1.55653e-117 t=325666
ban ping 	扳平	c=1 d=2.6898e-170 t=325666
ban tian 	半天	c=2 d=7.38684e-114 t=325666
ban tiao 	半條	c=1 d=2.39581e-220 t=325666
ban xiao shi 	半小時	c=1 d=1.42755e-70 t=325666
ban yan 	扮演	c=1 d=8.77748e-202 t=325666
ban yue 	半月	c=0 d=1.38857e-157 t=325666
ban zhang 	班長	c=2 d=2.70408e-121 t=325666
ban zhu ren 	班主任	c=1 d=3.42523e-190 t=325666
ban zi 	班子	c=2 d=1.083e-85 t=325666
bang 	幫	c=110 d=0.289618 t=325666
bang 	榜	c=4 d=0.07502 t=325666
bang 	綁	c=42 d=2.4617e-10 t=325666
bang bang 	幫幫	c=1 d=1.07083e-11 t=325666
bang dan 	榜單	c=4 d=8.70543e-17 t=325666
bang ding 	綁定	c=40 d=0.0557578 t=325666
bang ding dao 	綁定到	c=1 d=1.33361e-34 t=325666
bang ding le 	綁定了	c=1 d=2.42234e-85 t=325666
bang gang 	棒鋼	c=1 d=1.94948e-177 t=325666
bang ge 	幫個	c=8 d=1.18793e-26 t=325666
bang ge mang 	幫個忙	c=1 d=3.91934e-99 t=325666
bang hui 	幫會	c=1 d=9.27397e-26 t=325666
bang kan xia 	幫看下	c=4 d=1.14429e-25 t=325666
bang le 	幫了	c=1 d=1.38597e-134 t=325666
bang li 	磅力	c=1 d=2.06952e-86 t=325666
bang ma 	幫嘛	c=1 d=3.82986e-92 t=325666
bang man 	幫慢	c=1 d=1.19987e-26 t=325666
bang man mei ge 	幫慢每個	c=1 d=9.57277e-193 t=325666
bang mang 	幫忙	c=534 d=0.883571 t=325666
bang mang a 	幫忙啊	c=1 d=1.47044e-271 t=325666
bang mang kan 	幫忙看	c=1 d=4.63269e-125 t=325666
bang mang kan xia 	幫忙看下	c=6 d=6.18132e-18 t=325666
bang mang le 	幫忙了	c=1 d=2.0172e-167 t=325666
bang mang que ren 	幫忙確認	c=1 d=7.85131e-08 t=325666
bang mang xia 	幫忙下	c=2 d=1.39752e-114 t=325666
bang mang zhao yi xia 	幫忙找一下	c=1 d=1.49042e-224 t=325666
bang ni 	幫你	c=50 d=0.0502894 t=325666
bang ni men 	幫你們	c=1 d=9.31797e-111 t=325666
bang wan 	傍晚	c=8 d=6.67965e-06 t=325666
bang wan qian 	傍晚前	c=1 d=5.68407e-237 t=325666
bang wo 	幫我	c=18 d=1.97657e-16 t=325666
bang wo men 	幫我們	c=1 d=5.50822e-279 t=325666
bang zai 	綁在	c=2 d=4.67258e-167 t=325666
bang zhu 	幫助	c=11 d=0.874627 t=325666
bang zhu xia 	幫助下	c=1 d=0.0520787 t=325666
bao 	保	c=8 d=1.0834e-23 t=325666
bao 	包	c=876 d=4.49738 t=325666
bao 	報	c=105 d=3.11382e-10 t=325666
bao 	寶	c=8 d=3.29335 t=325666
bao 	抱	c=14 d=5.40256e-22 t=325666
bao 	煲	c=3 d=2.48686e-12 t=325666
bao 	爆	c=2 d=3.72653e-35 t=325666
bao an 	寶安	c=1 d=4.80833e-151 t=325666
bao bao 	寶寶	c=1 d=2.31898e-72 t=325666
bao biao 	報表	c=23 d=1.26642e-14 t=325666
bao chi 	保持	c=137 d=0.632136 t=325666
bao chu lai 	抱出來	c=1 d=5.34958e-200 t=325666
bao chun 	報春	c=1 d=1.72087e-92 t=325666
bao ci 	报慈	c=5 d=1.42173e-22 t=325666
bao cun 	保存	c=26 d=0.843665 t=325666
bao cuo 	報錯	c=32 d=0.137381 t=325666
bao cuo le 	報錯了	c=1 d=4.3385e-206 t=325666
bao dao 	報到	c=3 d=1.09199e-94 t=325666
bao de 	报得	c=1 d=5.89407e-17 t=325666
bao de 	煲的	c=1 d=0.293758 t=325666
bao fei 	保費	c=1 d=2.64758e-131 t=325666
bao fei 	報廢	c=1 d=3.31493e-11 t=325666
bao fu 	包袱	c=1 d=2.40288e-49 t=325666
bao gao 	報告	c=11 d=0.0960789 t=325666
bao guan 	報關	c=3 d=3.75926e-79 t=325666
bao guan li 	包管理	c=1 d=1.21751e-80 t=325666
bao guan li qi 	包管理器	c=1 d=0.891366 t=325666
bao guang 	曝光	c=325 d=0.227637 t=325666
bao guang bi li 	曝光比例	c=1 d=3.08727e-115 t=325666
bao guang biao 	曝光表	c=8 d=1.27276e-14 t=325666
bao guang de 	曝光的	c=1 d=5.46027e-235 t=325666
bao guang le 	曝光了	c=3 d=5.63741e-52 t=325666
bao guang lv 	曝光率	c=1 d=1.72439e-116 t=325666
bao guang ne 	曝光呢	c=1 d=3.38157e-98 t=325666
bao guang shi jian 	曝光時間	c=1 d=2.95132e-144 t=325666
bao guang shu 	曝光熟	c=1 d=4.41243e-52 t=325666
bao guang shu ju 	曝光數據	c=1 d=1.63466e-105 t=325666
bao guo 	包裹	c=1 d=9.29957e-29 t=325666
bao han 	包含	c=101 d=0.0359729 t=325666
bao han le 	包含了	c=6 d=2.82567e-44 t=325666
bao han yi fen 	包含一份	c=1 d=9.785e-10 t=325666
bao hang 	包行	c=1 d=2.65244e-35 t=325666
bao hao 	包好	c=1 d=6.14262e-238 t=325666
bao he 	飽和	c=2 d=8.93312e-56 t=325666
bao hu 	保護	c=29 d=0.0113902 t=325666
bao hu le 	保護了	c=1 d=1.88327e-241 t=325666
bao hu xia 	保護下	c=1 d=1.63723e-241 t=325666
bao huo 	保活	c=4 d=2.3212e-142 t=325666
bao jian pin 	保健品	c=2 d=1.16544e-07 t=325666
bao kao 	報考	c=1 d=8.633e-242 t=325666
bao ke yi 	包可以	c=1 d=9.24314e-75 t=325666
bao kuo 	包括	c=31 d=1.25924e-06 t=325666
bao kuo bu xian yu 	包括不限於	c=1 d=2.74908e-103 t=325666
bao kuo le 	包括了	c=1 d=1.58797e-117 t=325666
bao le 	報了	c=6 d=2.85769e-21 t=325666
bao le 	抱了	c=2 d=6.05485e-157 t=325666
bao li 	暴力	c=1 d=1.00731e-115 t=325666
bao lian deng 	寶蓮燈	c=1 d=1.1332e-265 t=325666
bao liu 	保留	c=53 d=0.66034 t=325666
bao liu ba 	保留吧	c=1 d=7.16777e-54 t=325666
bao lu 	暴露	c=46 d=2.15529e-05 t=325666
bao lu kuang 	暴露狂	c=0 d=7.96114e-231 t=325666
bao lu kuang le 	暴露狂了	c=1 d=8.00104e-230 t=325666
bao lun 	暴論	c=1 d=1.36858e-15 t=325666
bao ma 	寶馬	c=1 d=2.74796e-157 t=325666
bao mang 	暴盲	c=1 d=2.47843e-119 t=325666
bao mi 	保密	c=20 d=1.90894e-05 t=325666
bao mi xie yi 	保密協議	c=3 d=1.99796e-260 t=325666
bao ming 	報名	c=3 d=1.27196e-211 t=325666
bao nian 	包年	c=1 d=0.99005 t=325666
bao nuan 	保暖	c=1 d=1.00365e-131 t=325666
bao qian 	抱歉	c=12 d=3.12996e-12 t=325666
bao qian bao qian 	抱歉抱歉	c=2 d=6.52061e-29 t=325666
bao sha 	暴殺	c=1 d=6.70489e-239 t=325666
bao shang 	報上	c=2 d=7.97538e-45 t=325666
bao shou 	保守	c=1 d=4.46559e-134 t=325666
bao tang 	煲湯	c=2 d=0.535745 t=325666
bao xian 	保險	c=27 d=1.86241e-22 t=325666
bao xiang 	包廂	c=1 d=4.90666e-242 t=325666
bao xiang 	寶箱	c=3 d=3.21336e-229 t=325666
bao xiao 	報銷	c=1 d=5.8759e-157 t=325666
bao xiu 	保修	c=0 d=1.13724e-14 t=325666
bao xiu le 	保修了	c=1 d=1.14294e-13 t=325666
bao yang 	保養	c=1 d=2.72258e-283 t=325666
bao yi bao 	抱一抱	c=1 d=3.54723e-190 t=325666
bao ying 	報應	c=1 d=6.8103e-11 t=325666
bao you 	保佑	c=0 d=7.11632e-176 t=325666
bao yu 	暴雨	c=1 d=5.79884e-90 t=325666
bao zao 	暴躁	c=1 d=1.74843e-220 t=325666
bao zeng liang 	包增量	c=4 d=7.65505e-259 t=325666
bao zha 	爆炸	c=17 d=1.98512e-08 t=325666
bao zha le 	包炸了	c=1 d=7.23688e-108 t=325666
bao zha tou 	爆炸头	c=1 d=1.46693e-96 t=325666
bao zhang 	保障	c=2 d=1.25467e-22 t=325666
bao zhe 	抱着	c=1 d=1.87151e-139 t=325666
bao zheng 	保證	c=20 d=8.90125e-14 t=325666
bao zheng jin 	保證金	c=1 d=7.10779e-14 t=325666
bao zhong 	保重	c=6 d=0.20089 t=325666
bao zhuang 	包裝	c=2 d=6.6804e-171 t=325666
bao zhuang ku 	包装库	c=1 d=2.08238e-100 t=325666
bao zhuang qi 	包裝器	c=4 d=8.04407e-109 t=325666
bei 	倍	c=1 d=1.1381e-110 t=325666
bei 	唄	c=58 d=0.873716 t=325666
bei 	盃	c=8 d=2.10414e-33 t=325666
bei 	碑	c=1 d=8.77178e-165 t=325666
bei 	背	c=5 d=1.16282e-10 t=325666
bei 	被	c=396 d=1.04341 t=325666
bei 	貝	c=1 d=1.61877e-49 t=325666
bei ai 	悲哀	c=1 d=1.44406e-117 t=325666
bei bao 	背包	c=2 d=2.05695e-36 t=325666
bei ci 	背刺	c=2 d=8.42722e-76 t=325666
bei da ji 	唄打擊	c=4 d=2.26618e-07 t=325666
bei da ji le 	被打擊了	c=2 d=1.8246e-16 t=325666
bei diao yong 	唄調用	c=1 d=1.84867e-170 t=325666
bei dong 	被動	c=30 d=3.07593e-13 t=325666
bei fang 	北方	c=1 d=0.873716 t=325666
bei fen 	備份	c=10 d=4.69955 t=325666
bei guan zhu 	被關注	c=2 d=4.16053e-170 t=325666
bei hao 	備好	c=3 d=7.71192e-19 t=325666
bei hou 	背後	c=1 d=1.1472e-233 t=325666
bei hui fu 	被回覆	c=1 d=1.26401e-21 t=325666
bei ji 	北極	c=2 d=1.06318e-103 t=325666
bei jie 	北街	c=0 d=1.89644e-177 t=325666
bei jie duan 	北街端	c=1 d=1.90594e-176 t=325666
bei jin 	被禁	c=4 d=4.98941e-86 t=325666
bei jing 	北京	c=10 d=0.99005 t=325666
bei jing 	背景	c=196 d=0.670836 t=325666
bei jing se 	背景色	c=1 d=4.81156e-12 t=325666
bei jing shi 	北京市	c=1 d=4.47701e-164 t=325666
bei jing xia 	背景下	c=1 d=5.55236e-79 t=325666
bei lao 	北佬	c=1 d=7.95752e-19 t=325666
bei le 	背了	c=1 d=0.044601 t=325666
bei lu 	北路	c=1 d=2.51092e-37 t=325666
bei mei 	北美	c=1 d=8.21383e-39 t=325666
bei ni 	被你	c=1 d=4.32965e-182 t=325666
bei pan 	背叛	c=1 d=8.38519e-76 t=325666
bei qie 	悲切	c=1 d=1.8307e-114 t=325666
bei ren 	被人	c=1 d=7.12861e-19 t=325666
bei ren qiang le 	被人搶了	c=1 d=6.76876e-86 t=325666
bei shang 	悲傷	c=1 d=0.99005 t=325666
bei su 	倍速	c=20 d=0.000470441 t=325666
bei wang 	備忘	c=3 d=7.55349e-53 t=325666
bei wang lu 	備忘錄	c=1 d=7.19006e-208 t=325666
bei wo 	被我	c=2 d=0.932394 t=325666
bei wo men 	被我們	c=1 d=1.05131e-118 t=325666
bei yong 	被蛹	c=1 d=1.49581e-237 t=325666
bei zhu 	備注	c=35 d=9.05647e-05 t=325666
bei zhua dao 	被抓到	c=2 d=8.19209e-96 t=325666
bei zi 	被子	c=2 d=0.0372539 t=325666
bei zi ji 	被自己	c=1 d=0.869358 t=325666
ben 	本	c=9 d=1.31855e-18 t=325666
ben ben 	本本	c=1 d=2.59549e-16 t=325666
ben chu 	本處	c=1 d=5.17543e-193 t=325666
ben ci 	本次	c=5 d=0.0925506 t=325666
ben di 	本地	c=178 d=0.932394 t=325666
ben di hua 	本地化	c=4 d=4.70014e-148 t=325666
ben di le 	本地了	c=1 d=3.79393e-40 t=325666
ben ke sheng 	本科生	c=1 d=3.49986e-32 t=325666
ben lai 	本來	c=76 d=0.996228 t=325666
ben lai shi 	本來是	c=1 d=4.41289e-112 t=325666
ben qun 	本群	c=2 d=3.31539e-42 t=325666
ben ren 	本人	c=3 d=1.2818e-09 t=325666
ben shen 	本身	c=233 d=0.245367 t=325666
ben sheng 	本省	c=13 d=3.25472e-60 t=325666
ben ti 	本体	c=2 d=2.7607e-182 t=325666
ben wen 	本文	c=2 d=1.03881e-212 t=325666
ben yi 	本意	c=1 d=2.7404e-154 t=325666
ben zhi 	本質	c=17 d=0.790571 t=325666
ben zhi shang 	本質上	c=8 d=0.00213348 t=325666
ben zhou 	本昼	c=1 d=9.91271e-133 t=325666
ben zhou 	本週	c=2 d=2.41231e-95 t=325666
ben zi 	本子	c=1 d=3.25343e-261 t=325666
beng 	崩	c=3 d=1.48066e-88 t=325666
beng kui 	崩潰	c=1 d=1.50975e-111 t=325666
beng le 	蹦了	c=1 d=2.07941e-142 t=325666
