# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	112144
#@/user_id	MacBook
a 	啊	c=165 d=0.114078 t=112144
bai wan 	百萬	c=2 d=4.06794e-125 t=112144
ban 	伴	c=1 d=6.79019e-35 t=112144
ban 	半	c=22 d=1.02164e-08 t=112144
ban 	搬	c=5 d=1.39747e-167 t=112144
ban 	板	c=1 d=3.76554e-128 t=112144
ban 	班	c=1 d=2.41857e-243 t=112144
ban 	辦	c=9 d=4.52061e-11 t=112144
ban ba 	班疤	c=0 d=1.74848e-45 t=112144
ban ba ne 	班疤呢	c=1 d=1.75724e-44 t=112144
ban ben 	版本	c=537 d=0.0266703 t=112144
ban ben bu 	版本不	c=2 d=7.36127e-155 t=112144
ban ben er 	扳本兒	c=1 d=3.75746e-44 t=112144
ban ben hao 	版本號	c=3 d=6.19395e-42 t=112144
ban ben le 	版本了	c=1 d=3.05876e-241 t=112144
ban ben shang 	版本上	c=1 d=3.01399e-09 t=112144
ban che 	班車	c=18 d=8.26605e-16 t=112144
ban che le 	班車了	c=1 d=3.58541e-22 t=112144
ban fa 	辦法	c=6 d=1.34072e-67 t=112144
ban fan 	拌飯	c=2 d=3.43746e-86 t=112144
ban hao 	版號	c=1 d=6.691e-244 t=112144
ban hui 	半會	c=2 d=1.11326e-115 t=112144
ban jiao 	半角	c=1 d=5.10028e-168 t=112144
ban le 	辦了	c=2 d=2.06672e-217 t=112144
ban lu 	半路	c=1 d=9.359e-192 t=112144
ban nian 	半年	c=0 d=1.53366e-91 t=112144
ban nian le 	半年了	c=1 d=1.54135e-90 t=112144
ban tiao 	半條	c=1 d=2.39581e-220 t=112144
ban yan 	扮演	c=1 d=8.77748e-202 t=112144
ban zi 	班子	c=1 d=3.87865e-182 t=112144
bang 	幫	c=59 d=0.289618 t=112144
bang 	綁	c=11 d=7.83879e-48 t=112144
bang dan 	榜單	c=1 d=8.70543e-17 t=112144
bang ding 	綁定	c=8 d=2.24937e-37 t=112144
bang ge 	幫個	c=1 d=6.43515e-109 t=112144
bang ge mang 	幫個忙	c=1 d=3.91934e-99 t=112144
bang hui 	幫會	c=1 d=9.27397e-26 t=112144
bang kan xia 	幫看下	c=4 d=1.14429e-25 t=112144
bang mang 	幫忙	c=175 d=0.0109984 t=112144
bang mang kan xia 	幫忙看下	c=2 d=1.59956e-85 t=112144
bang mang le 	幫忙了	c=1 d=2.0172e-167 t=112144
bang mang xia 	幫忙下	c=2 d=1.39752e-114 t=112144
bang mang zhao yi xia 	幫忙找一下	c=1 d=1.49042e-224 t=112144
bang ni 	幫你	c=13 d=9.04738e-06 t=112144
bang wan 	傍晚	c=4 d=5.27959e-104 t=112144
bang wan qian 	傍晚前	c=1 d=5.68407e-237 t=112144
bang wo 	幫我	c=7 d=6.75402e-31 t=112144
bang zai 	綁在	c=1 d=8.83499e-220 t=112144
bang zhu 	幫助	c=8 d=0.565525 t=112144
bao 	保	c=5 d=1.0834e-23 t=112144
bao 	包	c=255 d=0.000581332 t=112144
bao 	報	c=65 d=9.56833e-45 t=112144
bao 	寶	c=2 d=7.39133e-33 t=112144
bao 	抱	c=1 d=2.7878e-238 t=112144
bao 	煲	c=1 d=6.32882e-207 t=112144
bao 	爆	c=1 d=3.72653e-35 t=112144
bao an 	寶安	c=1 d=4.80833e-151 t=112144
bao biao 	報表	c=17 d=1.26642e-14 t=112144
bao chi 	保持	c=38 d=2.55025e-14 t=112144
bao ci 	报慈	c=1 d=1.14388e-52 t=112144
bao cun 	保存	c=10 d=0.843665 t=112144
bao cuo 	報錯	c=12 d=6.97942e-123 t=112144
bao cuo le 	報錯了	c=1 d=4.3385e-206 t=112144
bao dao 	報到	c=2 d=6.45997e-225 t=112144
bao fei 	保費	c=1 d=2.64758e-131 t=112144
bao gao 	報告	c=4 d=2.17968e-95 t=112144
bao guan 	報關	c=2 d=3.75926e-79 t=112144
bao guan li 	包管理	c=1 d=1.21751e-80 t=112144
bao guang 	曝光	c=153 d=3.97924e-08 t=112144
bao guang biao 	曝光表	c=7 d=1.27276e-14 t=112144
bao guang de 	曝光的	c=1 d=5.46027e-235 t=112144
bao guang le 	曝光了	c=2 d=9.15273e-77 t=112144
bao guang shi jian 	曝光時間	c=1 d=2.95132e-144 t=112144
bao guang shu ju 	曝光數據	c=1 d=1.63466e-105 t=112144
bao han 	包含	c=27 d=0.00578402 t=112144
bao he 	飽和	c=1 d=2.13126e-167 t=112144
bao hu 	保護	c=8 d=1.98675e-47 t=112144
bao hu le 	保護了	c=1 d=1.88327e-241 t=112144
bao hu xia 	保護下	c=1 d=1.63723e-241 t=112144
bao huo 	保活	c=4 d=2.3212e-142 t=112144
bao kao 	報考	c=1 d=8.633e-242 t=112144
bao kuo 	包括	c=10 d=1.06274e-10 t=112144
bao le 	報了	c=2 d=1.1472e-86 t=112144
bao liu 	保留	c=17 d=1.79798e-13 t=112144
bao lu 	暴露	c=10 d=2.15529e-05 t=112144
bao lu kuang 	暴露狂	c=0 d=7.96114e-231 t=112144
bao lu kuang le 	暴露狂了	c=1 d=8.00104e-230 t=112144
bao ming 	報名	c=3 d=1.27196e-211 t=112144
bao nuan 	保暖	c=1 d=1.00365e-131 t=112144
bao qian 	抱歉	c=8 d=6.17881e-72 t=112144
bao sha 	暴殺	c=1 d=6.70489e-239 t=112144
bao shang 	報上	c=2 d=7.97538e-45 t=112144
bao xian 	保險	c=19 d=1.07025e-34 t=112144
bao xiang 	包廂	c=1 d=4.90666e-242 t=112144
bao zao 	暴躁	c=1 d=1.74843e-220 t=112144
bao zha 	爆炸	c=9 d=1.98512e-08 t=112144
bao zha tou 	爆炸头	c=1 d=1.46693e-96 t=112144
bao zhang 	保障	c=1 d=1.47468e-158 t=112144
bao zhe 	抱着	c=0 d=1.87151e-139 t=112144
bao zheng 	保證	c=9 d=5.30496e-75 t=112144
bao zhong 	保重	c=3 d=1.12283e-10 t=112144
bao zhuang 	包裝	c=2 d=6.6804e-171 t=112144
bao zhuang qi 	包裝器	c=2 d=1.71326e-171 t=112144
bei 	倍	c=1 d=1.1381e-110 t=112144
bei 	唄	c=31 d=1.54768e-14 t=112144
bei 	盃	c=8 d=2.10414e-33 t=112144
bei 	碑	c=1 d=8.77178e-165 t=112144
bei 	背	c=2 d=3.87585e-56 t=112144
bei 	被	c=142 d=0.0342182 t=112144
bei bao 	背包	c=2 d=2.05695e-36 t=112144
bei ci 	背刺	c=1 d=8.14437e-233 t=112144
bei da ji 	唄打擊	c=2 d=3.76746e-134 t=112144
bei da ji le 	被打擊了	c=1 d=6.06516e-177 t=112144
bei diao yong 	唄調用	c=1 d=1.84867e-170 t=112144
bei dong 	被動	c=15 d=1.65462e-42 t=112144
bei fen 	備份	c=3 d=2.3161 t=112144
bei guan zhu 	被關注	c=2 d=4.16053e-170 t=112144
bei ji 	北極	c=1 d=2.98273e-239 t=112144
bei jin 	被禁	c=4 d=4.98941e-86 t=112144
bei jing 	北京	c=2 d=2.35839e-233 t=112144
bei jing 	背景	c=59 d=0.000242391 t=112144
bei jing xia 	背景下	c=1 d=5.55236e-79 t=112144
bei mei 	北美	c=1 d=8.21383e-39 t=112144
bei ni 	被你	c=1 d=4.32965e-182 t=112144
bei su 	倍速	c=6 d=1.15216e-78 t=112144
bei zhu 	備注	c=9 d=1.26749e-24 t=112144
bei zi 	被子	c=1 d=1.05942e-32 t=112144
ben 	本	c=7 d=1.31855e-18 t=112144
ben ci 	本次	c=2 d=1.45618e-39 t=112144
ben di 	本地	c=76 d=0.772749 t=112144
ben di hua 	本地化	c=1 d=4.70014e-148 t=112144
ben di le 	本地了	c=1 d=3.79393e-40 t=112144
ben ke sheng 	本科生	c=1 d=3.49986e-32 t=112144
ben lai 	本來	c=32 d=0.112478 t=112144
ben lai shi 	本來是	c=1 d=4.41289e-112 t=112144
ben shen 	本身	c=66 d=1.51535e-37 t=112144
ben sheng 	本省	c=13 d=3.25472e-60 t=112144
ben ti 	本体	c=2 d=2.7607e-182 t=112144
ben wen 	本文	c=2 d=1.03881e-212 t=112144
ben yi 	本意	c=1 d=2.7404e-154 t=112144
ben zhi 	本質	c=7 d=7.44498e-59 t=112144
beng kui 	崩潰	c=1 d=1.50975e-111 t=112144
beng le 	蹦了	c=1 d=2.07941e-142 t=112144
bi 	幣	c=2 d=4.06299e-220 t=112144
bi 	必	c=4 d=2.33378e-88 t=112144
bi 	比	c=21 d=2.88179e-20 t=112144
bi bao 	閉包	c=23 d=7.35822e-39 t=112144
bi bao zhong 	閉包中	c=1 d=1.30265e-228 t=112144
bi bu shang 	比不上	c=1 d=8.53803e-112 t=112144
bi ci 	彼此	c=1 d=2.66621e-184 t=112144
bi ding 	必定	c=2 d=1.40553e-93 t=112144
bi dui 	比對	c=1 d=1.5922e-207 t=112144
bi ji ben 	筆記本	c=1 d=9.79616e-229 t=112144
bi jiao 	比較	c=164 d=0.0955997 t=112144
bi jiao chang 	比較長	c=3 d=9.11823e-62 t=112144
bi jiao da 	比較大	c=10 d=4.54309e-13 t=112144
bi jiao duan 	比較端	c=1 d=5.53389e-128 t=112144
bi jiao duo 	比較多	c=3 d=8.0222e-26 t=112144
bi jiao ha 	比較哈	c=1 d=1.00783e-121 t=112144
bi jiao hao 	比較好	c=5 d=1.13527e-22 t=112144
bi jiao kuai 	比較快	c=1 d=2.10883e-219 t=112144
bi jiao man 	比較慢	c=4 d=1.21614e-08 t=112144
bi jiao qing song 	比較輕鬆	c=1 d=2.73993e-152 t=112144
bi jiao shang 	比較上	c=1 d=3.18966e-234 t=112144
bi jiao shao 	比較少	c=1 d=4.93925e-26 t=112144
bi jiao xia 	比較下	c=1 d=1.70793e-209 t=112144
bi jiao xian 	比較先	c=1 d=9.32908e-125 t=112144
bi jiao xiao 	比較小	c=2 d=9.39623e-33 t=112144
bi jiao yuan 	比較源	c=1 d=0.960789 t=112144
bi jiao zao 	比較早	c=1 d=3.67296e-188 t=112144
bi jing 	畢竟	c=20 d=0.913931 t=112144
bi li 	比例	c=28 d=3.27347e-10 t=112144
bi li de 	比例的	c=0 d=5.74621e-72 t=112144
bi lv 	比率	c=17 d=2.16628e-09 t=112144
bi mian 	避免	c=48 d=3.10417e-17 t=112144
bi mian dao zhi 	避免導致	c=1 d=4.1556e-23 t=112144
bi mian le 	避免了	c=1 d=2.9313e-64 t=112144
bi ren 	逼人	c=1 d=9.25386e-118 t=112144
bi ru 	比如	c=37 d=0.0244898 t=112144
bi ru shuo 	比如說	c=6 d=5.2909e-41 t=112144
bi shi 	鄙視	c=1 d=1.29971e-84 t=112144
bi wo 	比我	c=3 d=2.16286e-38 t=112144
bi wu 	筆誤	c=1 d=3.87457e-199 t=112144
bi xu 	必須	c=6 d=5.68747e-09 t=112144
bi xu de 	必需的	c=1 d=3.77092e-86 t=112144
bi xu dei 	必須得	c=1 d=2.98972e-149 t=112144
bi xu shi 	必須是	c=1 d=2.21943e-144 t=112144
bi xu yao 	必須要	c=2 d=7.44864e-65 t=112144
bi yao 	必要	c=22 d=1.49393e-13 t=112144
bi yao xing 	必要性	c=1 d=1.0216e-163 t=112144
bi ye 	畢業	c=2 d=8.12163e-112 t=112144
bi yuan 	闭源	c=3 d=6.40978e-114 t=112144
bi zhe ge 	比這個	c=1 d=2.54117e-119 t=112144
bi zhi 	壁紙	c=1 d=1.75058e-205 t=112144
bi zhi 	比值	c=2 d=1.56242e-132 t=112144
bian 	變	c=11 d=1.07858e-37 t=112144
bian 	遍	c=5 d=3.44496e-39 t=112144
bian 	邊	c=7 d=3.06736e-39 t=112144
bian chang 	變長	c=0 d=4.86063e-191 t=112144
bian chang le 	變長了	c=1 d=4.88499e-190 t=112144
bian cheng 	變成	c=12 d=1.05597e-23 t=112144
bian da 	變大	c=1 d=1.33023e-151 t=112144
bian de 	編的	c=2 d=2.76936e-160 t=112144
bian de 	變得	c=4 d=0.00355444 t=112144
bian dong 	變動	c=6 d=0.000450569 t=112144
bian geng 	變更	c=6 d=3.63449e-12 t=112144
bian geng dian 	變更點	c=1 d=4.77068e-88 t=112144
bian hua 	變化	c=17 d=1.09843e-09 t=112144
bian hua shi fou 	變化是否	c=1 d=1.01965e-23 t=112144
bian hui 	變回	c=1 d=9.70549e-61 t=112144
bian ji 	編輯	c=21 d=0.668327 t=112144
bian ji hao 	編輯號	c=1 d=4.29882e-98 t=112144
bian jie 	便捷	c=7 d=3.06029e-100 t=112144
bian jie 	边界	c=2 d=2.48773e-163 t=112144
bian ju 	邊距	c=2 d=5.01918e-09 t=112144
bian kuang 	邊框	c=6 d=7.96754e-85 t=112144
bian lai bian qu 	變來變去	c=1 d=3.84934e-181 t=112144
bian le 	變了	c=2 d=3.05892e-36 t=112144
bian li 	便利	c=3 d=1.43212e-137 t=112144
bian li 	變例	c=1 d=8.98226e-238 t=112144
bian li 	遍歷	c=17 d=0.0833256 t=112144
bian liang 	變量	c=56 d=0.786628 t=112144
bian liang le 	變量了	c=1 d=6.21825e-88 t=112144
bian lun 	辯論	c=1 d=9.30817e-128 t=112144
bian ma 	編碼	c=37 d=6.63629e-30 t=112144
bian se long 	变色龙	c=1 d=1.5858e-101 t=112144
bian xian 	變現	c=2 d=2.75134e-134 t=112144
bian xian shang 	變現上	c=1 d=3.74867e-134 t=112144
bian xie 	編寫	c=24 d=0.0399336 t=112144
bian yi 	編譯	c=40 d=9.0982e-48 t=112144
bian yuan 	邊緣	c=2 d=3.78711e-107 t=112144
bian zhi 	貶值	c=2 d=2.53152e-96 t=112144
biao 	標	c=7 d=5.66204e-162 t=112144
biao 	表	c=209 d=6.69361e-10 t=112144
biao 	飈	c=1 d=8.75119e-108 t=112144
biao da 	表達	c=1 d=2.58662e-151 t=112144
biao da shi 	表達式	c=14 d=7.66635e-51 t=112144
biao de 	表的	c=1 d=3.57192e-154 t=112144
biao di 	標的	c=1 d=7.8988e-167 t=112144
biao ge 	表格	c=45 d=1.74372e-12 t=112144
biao ge zhong 	表格中	c=7 d=7.45347e-102 t=112144
biao guan lian 	表關聯	c=1 d=1.17412e-153 t=112144
biao ji 	標記	c=3 d=8.89158e-60 t=112144
biao kuang 	标况	c=1 d=1.71555e-85 t=112144
biao le 	表了	c=2 d=8.91489e-32 t=112144
biao lian jie 	表鏈接	c=1 d=2.99296e-103 t=112144
biao liang 	標量	c=1 d=4.51431e-144 t=112144
biao ming 	標明	c=5 d=0.00132018 t=112144
biao ming 	表明	c=2 d=9.76652e-164 t=112144
biao ming da jia 	表明大家	c=1 d=2.30515e-178 t=112144
biao pan 	錶盤	c=1 d=6.19546e-133 t=112144
biao qian 	標籤	c=29 d=8.54758e-37 t=112144
biao qian fen lei 	標籤分類	c=1 d=1.63161e-230 t=112144
biao qian ye 	标签页	c=3 d=3.61042e-115 t=112144
biao qing 	表情	c=100 d=1.01948e-19 t=112144
biao qing bao 	表情包	c=11 d=8.64994e-30 t=112144
biao qing bian ma 	表情編碼	c=1 d=2.19086e-168 t=112144
biao qing de 	表情的	c=1 d=2.46759e-185 t=112144
biao qing mian ban 	表情面板	c=4 d=1.1586e-26 t=112144
biao qing ru kou 	表情入口	c=1 d=2.10259e-96 t=112144
biao qiong 	表窮	c=1 d=6.62958e-165 t=112144
biao shi 	標識	c=3 d=2.26759e-28 t=112144
biao shi 	表示	c=33 d=2.12354e-07 t=112144
biao ti 	標題	c=7 d=2.05822e-51 t=112144
biao ti lan 	標題欄	c=2 d=2.48531e-51 t=112144
biao xian 	表現	c=111 d=0.000117183 t=112144
biao xian chu 	表现出	c=1 d=8.23088e-34 t=112144
biao xian de 	表現得	c=1 d=0.000107825 t=112144
biao xiang 	表象	c=1 d=1.44243e-45 t=112144
biao yan 	表演	c=0 d=8.29248e-152 t=112144
biao zhi 	標緻	c=1 d=1.37037e-236 t=112144
biao zhi 	標誌	c=12 d=7.87134e-08 t=112144
biao zhi wei 	標誌位	c=11 d=0.000167421 t=112144
biao zhu 	標注	c=8 d=0.00135523 t=112144
biao zhun 	標準	c=25 d=5.45745e-37 t=112144
biao zhun shi jian 	標準時間	c=1 d=6.84988e-226 t=112144
bie 	別	c=9 d=1.16282e-10 t=112144
bie 	憋	c=2 d=2.474e-58 t=112144
bie gao 	別搞	c=1 d=9.58604e-33 t=112144
bie jian yi 	別建議	c=1 d=1.94095e-243 t=112144
bie ku 	別哭	c=1 d=7.47689e-227 t=112144
bie ming 	别名	c=3 d=4.84453e-83 t=112144
bie niu 	彆扭	c=1 d=1.2778e-178 t=112144
bie ren 	別人	c=13 d=1.31108e-10 t=112144
bie xiang le 	別想了	c=1 d=4.696e-167 t=112144
bin 	斌	c=3 d=7.35447e-33 t=112144
bin bin 	斌斌	c=2 d=1.0184e-38 t=112144
bin hai 	濱海	c=1 d=7.48731e-214 t=112144
bing 	並	c=6 d=8.65731e-40 t=112144
bing 	兵	c=1 d=3.42801e-82 t=112144
bing 	病	c=1 d=1.49006e-133 t=112144
bing 	餅	c=13 d=7.79879e-117 t=112144
bing bu 	並不	c=5 d=2.84506e-95 t=112144
bing bu hui 	並不會	c=2 d=4.21642e-135 t=112144
bing bu shi 	並不是	c=14 d=3.77642e-15 t=112144
bing dong 	冰凍	c=1 d=5.33555e-81 t=112144
bing gan 	餅乾	c=1 d=6.50156e-24 t=112144
bing mei you 	並沒有	c=1 d=2.2295e-109 t=112144
bing qie 	並且	c=20 d=0.00104524 t=112144
bing xiang 	冰箱	c=1 d=2.62132e-102 t=112144
bing zhuang tu 	餅狀圖	c=2 d=9.04693e-21 t=112144
bo 	伯	c=1 d=8.91338e-30 t=112144
bo 	播	c=15 d=6.67409e-38 t=112144
bo 	波	c=1 d=1.56635e-44 t=112144
bo bo 	波波	c=1 d=7.50517e-242 t=112144
bo dong 	波動	c=16 d=5.64125e-60 t=112144
bo fang 	播放	c=119 d=1.64213e-05 t=112144
bo fang biao 	播放表	c=9 d=1.95832e-14 t=112144
bo fang cheng gong 	播放成功	c=1 d=4.95203e-27 t=112144
bo fang le 	播放了	c=2 d=2.11333e-09 t=112144
bo fang qi 	播放器	c=8 d=2.86605e-152 t=112144
bo fang ye 	播放也	c=1 d=1.18681e-103 t=112144
bo hou 	博後	c=1 d=9.46455e-30 t=112144
bo ke 	博客	c=3 d=2.45051e-74 t=112144
bo mo 	波模	c=1 d=3.04826e-230 t=112144
bo mo 	薄膜	c=1 d=3.06354e-230 t=112144
bo shi 	博士	c=1 d=7.06736e-182 t=112144
bo wen 	波紋	c=1 d=9.03394e-41 t=112144
bu 	不	c=243 d=0.646872 t=112144
bu 	步	c=2 d=4.34068e-65 t=112144
bu 	補	c=9 d=2.35298e-08 t=112144
bu 	部	c=2 d=4.25922e-48 t=112144
bu an quan 	不安全	c=2 d=7.28035e-149 t=112144
bu bao 	不報	c=2 d=1.20503e-47 t=112144
bu bao han 	不包含	c=1 d=6.50916e-214 t=112144
bu bi yao 	不必要	c=2 d=1.27004e-77 t=112144
bu bian 	不便	c=1 d=1.00618e-43 t=112144
bu bian 	不變	c=13 d=1.78787e-12 t=112144
bu bu 	步步	c=1 d=2.06537e-33 t=112144
bu chang 	步長	c=2 d=1.28888e-15 t=112144
bu chao guo 	不超過	c=2 d=6.67431e-09 t=112144
bu cheng gong 	不成功	c=1 d=4.75289e-191 t=112144
bu chi fan 	不喫飯	c=1 d=2.99918e-98 t=112144
bu chong 	補充	c=118 d=0.023474 t=112144
bu chong kai 	補充開	c=1 d=8.91764e-65 t=112144
bu chong le 	補充了	c=1 d=5.28427e-85 t=112144
bu chu 	不出	c=13 d=0.0934665 t=112144
bu chu lai 	不出來	c=13 d=3.79213e-05 t=112144
bu chu qu 	不出去	c=1 d=1.05029e-224 t=112144
bu chu xian 	不出現	c=1 d=2.45604e-218 t=112144
bu chuan 	不傳	c=1 d=6.20913e-12 t=112144
bu chuang jian 	不創建	c=1 d=5.65705e-181 t=112144
bu cun zai 	不存在	c=9 d=4.50876e-12 t=112144
bu cuo 	不錯	c=3 d=8.25216e-34 t=112144
bu da 	不大	c=18 d=4.21371e-11 t=112144
bu da kai 	不打開	c=1 d=1.08345e-178 t=112144
bu dai 	不帶	c=1 d=9.7473e-229 t=112144
bu dan dan 	不單單	c=2 d=6.14715e-41 t=112144
bu dao 	不到	c=49 d=1.07932e-11 t=112144
bu dao le 	不到了	c=1 d=1.33504e-164 t=112144
bu de bu 	不得不	c=2 d=7.49107e-73 t=112144
bu dei 	不得	c=1 d=1.1945e-179 t=112144
bu diao yong 	不調用	c=1 d=8.09075e-126 t=112144
bu ding 	補丁	c=1 d=5.41089e-187 t=112144
bu dong 	不動	c=1 d=2.49731e-120 t=112144
bu dong 	不懂	c=1 d=2.93957e-09 t=112144
bu duan 	不斷	c=6 d=1.31694e-33 t=112144
bu dui 	不對	c=17 d=0.000626727 t=112144
bu dui a 	不對啊	c=1 d=3.16229e-74 t=112144
bu dui ba 	不對吧	c=1 d=3.6431e-239 t=112144
bu dui ying 	不對應	c=1 d=1.69325e-225 t=112144
bu duo 	不多	c=3 d=9.0349e-101 t=112144
bu er 	不二	c=1 d=1.04696e-128 t=112144
